UV_filtered,UV_transmitted,Site_reference
0.328742855943681,0.320060238650858,0.321199415871599
0.319248153542457,0.332162007037163,0.321232224239299
0.32693389618886,0.329403435055872,0.31754249871423
0.339196725951182,0.325428634644877,0.31939610235669
0.30817628267895,0.324515914585073,0.312723036268275
0.325009828438956,0.321134919999394,0.316957219507147
0.332844280089082,0.323347661211089,0.317266648359944
0.333499252619143,0.317330733609052,0.317041708467455
0.339238610385121,0.331034586999986,0.31562711933011
0.325556456165396,0.322136134465958,0.320669265929456
0.326895897890028,0.326192457559746,0.30907336029237
0.329189376759994,0.314584518355381,0.315086564293307
0.338286710757961,0.330702964071884,0.329931459980534
0.33833774720449,0.326481591671041,0.315559760933533
