UV_filtered,UV_transmitted,Site_reference
0.32615936689996,0.323889102798444,0.323712301409562
0.331166871067679,0.322879162171997,0.327262645905197
0.322598100020985,0.333287618038121,0.32779721785954
0.333823247535873,0.329712885148623,0.324171534744455
0.339263384584671,0.33066163786796,0.322861843672314
0.309169198316143,0.328632622806987,0.321598821447286
0.337030558249716,0.32671691807138,0.322744055610449
0.332451034813516,0.317030669480872,0.322539311449294
0.344133263991486,0.332883331844668,0.320425681101638
0.331994238721031,0.328491457053647,0.327426173258654
0.331757724261032,0.330413160113098,0.312328946598336
0.332262690012397,0.318761931897183,0.323719539626759
0.339183676327202,0.334938400464862,0.336571310478284
0.341636473255595,0.331583969158715,0.322112508649798
